,ASSISTANT,ASSISTANT 1,B Dup,BALLA,BIKER,BODYGUARD,BOUNCER 1,BURGER SHOT EMPLOYEE,Big Bear,Big Smoke,CESAR,CJ (Carl Johnson),CLUCKIN' BELL EMPLOYEE,Catalina,DA NANG BOY 1,DA NANG BOY 2,DENISE,DEREK,DRIVER,Dwaine,EMPLOYEE,ESE,ESE 1,EVERYTHING.,Emmet,FARLIE,FOREMAN,Freddy,GIRL,GUARD,GUARD 1,GUARD 2,GUPPY,HILLBILLY 1,HILLBILLY 2,HILLBILLY 3,HILLBILLY WOMAN,HO,HO 1,HOMIE,HOMIE 1,HOMIE 2,HOMIE 3,HOMIES,JIMMY,JIZZY,JOHNNY,Jethro,KENDL,Ken Rosenberg (Rosie),MAN,MAN 1,MAN 2,MARIA,MECHANIC,MIDGET,MILLIE,Maccer,Madd Dogg,OCCUPANT,OG Loc,OK.,OK...,PILOT,PIZZA CO. EMPLOYEE,POLICE,POLICEMAN,POLICEMAN 1,POLICEMAN 2,PREACHER,Paul,Pulaski,RECEPTIONIST,REFUGEE 1,REPORTER,Ryder,SALESMAN,SALVATORE,SCIPIO,SWEET,Suzie,TENPENNY,TORENO,TRIAD,TRIAD 1,TRIAD 2,TRIAD 3,TRIAD 4,The Truth,Tony (el loro de Rosie),VAGOS 1,WHITTAKER,Woozie (Wu Zi Mu),Zero
ASSISTANT,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
ASSISTANT 1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B Dup,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BALLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIKER,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BODYGUARD,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOUNCER 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BURGER SHOT EMPLOYEE,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big Bear,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big Smoke,0,0,0,0,0,0,0,0,0,21,0,41,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0
