Personaje,word_count
CJ (Carl Johnson),5198
SWEET,1333
TORENO,937
Woozie (Wu Zi Mu),918
CESAR,825
TENPENNY,818
Big Smoke,805
Ryder,687
The Truth,640
OG Loc,543
Zero,459
Catalina,445
JIZZY,420
Ken Rosenberg (Rosie),370
KENDL,338
Paul,241
Madd Dogg,235
Pulaski,229
MAN,207
Tony (el loro de Rosie),183
Maccer,156
Suzie,121
MILLIE,120
B Dup,117
MAN 2,96
SALVATORE,96
GUPPY,80
MAN 1,77
REPORTER,66
MECHANIC,65
POLICEMAN,56
ASSISTANT,55
JOHNNY,52
Emmet,45
TRIAD,45
ESE 1,45
Big Bear,43
HOMIE,42
POLICEMAN 2,39
DENISE,38
GUARD,38
FOREMAN,37
JIMMY,37
REFUGEE 1,36
MIDGET,34
WHITTAKER,33
SCIPIO,32
DA NANG BOY 2,31
Dwaine,30
POLICEMAN 1,30
GIRL,30
Jethro,29
Freddy,29
HILLBILLY 1,28
PREACHER,26
BURGER SHOT EMPLOYEE,25
MARIA,25
VAGOS 1,20
OCCUPANT,18
HOMIE 3,17
HOMIE 2,16
HILLBILLY 2,15
ESE,14
BOUNCER 1,14
TRIAD 4,14
HO 1,13
GUARD 2,13
TRIAD 1,12
SALESMAN,12
PILOT,11
DEREK,11
BIKER,9
RECEPTIONIST,8
EMPLOYEE,8
TRIAD 2,8
DRIVER,7
POLICE,7
PIZZA CO. EMPLOYEE,7
HILLBILLY 3,7
DA NANG BOY 1,7
HILLBILLY WOMAN,7
FARLIE,6
BALLA,6
HOMIE 1,5
HOMIES,5
TRIAD 3,4
CLUCKIN' BELL EMPLOYEE,3
ASSISTANT 1,3
GUARD 1,3
BODYGUARD,3
HO,2
