lemma,count
cj,565
get,512
man,455
go,349
hey,251
yeah,185
shit,177
know,160
come,148
carl,148
fuck,131
car,128
sweet,127
see,127
take,126
oh,126
back,125
smoke,118
look,114
like,110
let,109
big,107
screen,98
one,97
outside,94
want,88
well,87
homie,86
ok,86
think,85
right,85
need,82
house,82
cesar,80
good,77
woozie,77
enter,75
say,69
two,69
baby,61
pull,60
make,60
fucking,60
ryder,59
dogg,57
little,57
tenpenny,56
loc,53
walk,52
garage,52
time,51
drive,51
real,50
way,49
run,49
casino,49
something,48
madd,48
fool,47
try,46
catalina,46
mean,45
damn,45
street,45
mother,44
work,44
phone,44
thing,44
guy,44
fucker,43
alright,43
give,42
keep,41
truth,41
sure,40
grove,39
talk,39
og,38
place,38
away,38
still,37
door,37
boy,37
ass,37
find,36
huh,35
hood,35
around,35
toreno,35
jump,35
help,34
hear,34
bitch,34
room,34
maccer,34
hit,33
tell,32
brother,32
hold,32
ballas,32
police,32
pulaski,32
use,32
kill,32
friend,32
jizzy,32
holme,32
wait,31
gun,31
hand,31
inside,31
leave,30
put,30
open,30
thank,30
nigga,29
later,29
listen,29
hell,29
money,29
another,29
roll,28
van,28
dude,28
zero,28
always,27
whassup,27
life,27
crack,27
eh,27
never,27
shoot,27
call,27
business,27
paul,27
head,26
three,26
bad,26
rosie,26
watch,26
cool,25
please,25
drop,25
could,24
cut,24
kendl,24
ese,24
shop,24
plane,24
boss,24
behind,23
johnson,23
people,23
stay,23
care,23
nothing,22
happen,22
check,22
girl,22
suzie,22
bone,22
caligula,22
towards,21
bear,21
sorry,21
turn,21
steal,21
play,21
catch,21
floor,21
would,21
family,21
set,21
old,20
shut,20
asshole,20
everything,20
stop,20
move,20
ha,20
dup,19
whatever,19
deal,19
ring,19
nice,19
ride,19
drug,19
guard,19
start,19
town,19
four,19
everybody,19
meet,19
kid,19
triad,19
outta,18
front,18
first,18
must,18
yo,18
jethro,18
yes,18
onto,18
blow,18
love,17
new,17
feel,17
long,17
show,17
hello,17
last,17
sound,17
whole,17
job,17
motorbike,17
home,17
anyway,16
gangsta,16
officer,16
lose,16
face,16
spot,16
plan,16
even,16
next,16
stand,16
assistant,16
fire,16
crazy,15
sit,15
hernandez,15
fly,15
name,15
bullshit,15
might,15
remember,15
city,15
problem,15
along,15
day,14
fat,14
guess,14
fierro,14
rhyme,14
ever,14
game,14
relax,14
much,14
nah,14
cash,14
idea,14
berkley,14
follow,14
truck,14
gimme,13
park,13
maybe,13
station,13
san,13
woman,13
building,13
gang,13
peace,13
somebody,13
wrong,13
wanna,13
bike,13
point,13
idiot,13
mind,13
club,13
worry,13
nobody,13
dead,13
water,13
calm,13
ah,13
heist,13
millie,13
enough,13
johnny,13
near,12
kind,12
emmet,12
really,12
touch,12
dog,12
push,12
party,12
rap,12
book,12
straight,12
today,12
yet,12
miss,12
hard,12
cop,12
land,12
end,12
uh,12
wall,12
container,12
heh,12
crib,12
glass,12
hang,11
together,11
speak,11
ready,11
los,11
santos,11
security,11
area,11
bastard,11
alone,11
piece,11
easy,11
pay,11
bring,11
top,11
pick,11
fight,11
ship,11
break,10
yard,10
eat,10
number,10
cat,10
eye,10
stick,10
tired,10
tight,10
anything,10
patrol,10
gsf,10
families,10
low,10
close,10
mine,10
god,10
