lemma,count
fuck,10
bear,7
man,5
get,4
big,4
homie,3
know,3
hey,3
door,2
want,2
outta,2
thing,2
come,2
fool,2
give,2
smoke,2
house,2
mother,2
shit,2
say,2
behind,1
open,1
cj,1
matter,1
hood,1
never,1
understand,1
money,1
like,1
lay,1
back,1
check,1
nah,1
keep,1
clean,1
ai,1
right,1
hell,1
yeah,1
go,1
make,1
fucking,1
toilet,1
sparkle,1
stay,1
around,1
punk,1
choice,1
threaten,1
boss,1
sorry,1
dog,1
fuckin,1
crazy,1
paranoid,1
sit,1
think,1
business,1
tell,1
nothing,1
lieutenant,1
enter,1
kill,1
fucker,1
whole,1
quarter,1
sack,1
handle,1
shoot,1
wrong,1
hear,1
turn,1
dup,1
oh,1
