lemma,count
cj,30
get,26
holme,23
go,19
cesar,19
car,16
man,12
eh,11
back,11
hey,9
look,8
garage,8
one,8
homie,7
come,7
know,7
fuck,6
good,6
ok,6
carl,6
want,6
time,6
take,6
yeah,6
container,6
kendl,5
watch,5
smoke,5
guy,5
let,5
try,5
nice,4
like,4
baby,4
pull,4
race,4
ese,4
walk,4
open,4
fucking,4
drive,4
crazy,4
phone,4
bone,4
see,4
still,4
three,4
house,4
cabron,3
ride,3
chota,3
follow,3
enter,3
tenpenny,3
ryder,3
door,3
around,3
easy,3
cousin,3
work,3
well,3
roof,3
pier,3
shit,3
whole,3
sweet,3
list,3
floor,3
crane,3
another,3
vehicle,3
bitch,3
help,3
alleyway,3
woman,2
handle,2
speak,2
sister,2
girl,2
stop,2
friend,2
sure,2
hard,2
con,2
first,2
boy,2
lose,2
pulaski,2
big,2
along,2
sorry,2
head,2
bad,2
grove,2
street,2
san,2
fierro,2
right,2
station,2
meet,2
roll,2
check,2
place,2
jizzy,2
two,2
ring,2
woozie,2
late,2
outside,2
little,2
bang,2
something,2
second,2
road,2
ship,2
next,2
luck,2
screen,2
export,2
import,2
hour,2
chance,2
could,2
city,2
neighbourhood,2
together,2
hasta,2
la,2
muerte,2
hazer,2
que,1
honda,1
hopping,1
act,1
chill,1
treat,1
east,1
nowhere,1
cool,1
jose,1
important,1
love,1
honour,1
life,1
skin,1
problem,1
fine,1
happy,1
carnal,1
vialpando,1
maybe,1
kick,1
soon,1
heeeyyy,1
make,1
carrucha,1
risk,1
cash,1
pink,1
slip,1
pot,1
safos,1
past,1
post,1
win,1
sin,1
dude,1
doughnut,1
shop,1
hernandez,1
sit,1
table,1
ballas,1
ssshhh,1
inside,1
green,1
sabre,1
hear,1
rumour,1
poke,1
believe,1
think,1
care,1
straight,1
home,1
cap,1
dope,1
dealer,1
already,1
stink,1
brother,1
pig,1
pusher,1
word,1
twice,1
week,1
send,1
trunk,1
full,1
white,1
idea,1
would,1
gasoline,1
run,1
vein,1
burn,1
passion,1
careful,1
least,1
alive,1
dis,1
familia,1
whassup,1
horale,1
say,1
call,1
give,1
tip,1
balla,1
score,1
yay,1
gas,1
split,1
outta,1
puta,1
ghetto,1
mentality,1
show,1
silence,1
pistol,1
bag,1
mine,1
buy,1
pant,1
america,1
front,1
club,1
bouncer,1
guard,1
job,1
message,1
pass,1
sniper,1
rifle,1
security,1
real,1
early,1
side,1
entrance,1
mira,1
rooftop,1
gig,1
blow,1
wide,1
building,1
chopper,1
inbound,1
trip,1
mendez,1
rifa,1
fucker,1
shoot,1
fall,1
edge,1
water,1
escape,1
boat,1
binocular,1
thing,1
hero,1
ls,1
huh,1
midget,1
deserve,1
asshole,1
cheer,1
soft,1
suzie,1
read,1
weep,1
worry,1
project,1
showroom,1
across,1
town,1
alright,1
leader,1
keep,1
window,1
onto,1
change,1
seal,1
must,1
crimp,1
damn,1
rap,1
freight,1
dock,1
load,1
match,1
customer,1
wish,1
mark,1
spray,1
might,1
loading,1
move,1
tomorrow,1
round,1
corner,1
fun,1
unlocked,1
board,1
easter,1
basin,1
docks,1
deliver,1
also,1
certain,1
day,1
jethro,1
dwaine,1
office,1
track,1
shopping,1
devil,1
nothing,1
ram,1
order,1
wrecked,1
swear,1
play,1
involve,1
police,1
pop,1
tyre,1
ass,1
jail,1
danger,1
sanity,1
fast,1
half,1
ago,1
year,1
cop,1
always,1
people,1
piss,1
need,1
hombre,1
hood,1
screw,1
shitty,1
lockdown,1
old,1
gang,1
push,1
slanging,1
punk,1
orale,1
varrio,1
veterano,1
unity,1
carnale,1
crack,1
way,1
stick,1
vagos,1
pendejos,1
stand,1
amigo,1
homies,1
bit,1
viper,1
nest,1
tough,1
luckily,1
surprise,1
sleeve,1
sunny,1
war,1
zone,1
group,1
carry,1
squat,1
near,1
vago,1
wall,1
finish,1
enough,1
thank,1
eat,1
