lemma,count
man,195
get,159
cj,139
hey,127
go,106
yeah,89
shit,70
oh,51
screen,51
see,50
know,43
take,42
look,42
smoke,42
woozie,42
come,40
car,39
sweet,39
let,37
back,35
fuck,34
alright,34
like,31
ok,31
big,30
homie,28
outside,28
think,28
sure,27
cesar,27
baby,27
need,26
dogg,25
well,24
hold,23
casino,23
house,22
right,22
want,21
ryder,20
one,20
madd,20
garage,19
way,19
enter,19
toreno,19
phone,18
damn,18
tenpenny,18
catalina,18
make,17
happen,16
mother,16
work,16
say,16
loc,16
truth,16
door,15
talk,15
good,15
walk,14
mean,14
pull,14
later,14
thank,14
behind,14
cool,14
real,14
hell,14
something,14
little,14
whassup,13
wait,13
fucker,13
two,13
use,13
find,13
place,13
hear,13
put,12
hood,12
whatever,12
thing,12
around,12
anyway,12
give,12
plan,12
jizzy,12
room,12
brother,11
ballas,11
roll,11
fool,11
hand,11
help,11
fucking,11
please,11
guy,11
always,10
dup,10
still,10
nigga,10
gun,10
carl,10
keep,10
dude,10
play,10
inside,10
street,10
floor,10
maccer,10
paul,10
head,9
crack,9
johnson,9
ass,9
police,9
guard,9
steal,9
security,9
kill,9
area,9
suzie,9
caligula,9
rosie,9
tell,8
huh,8
nothing,8
time,8
bear,8
sorry,8
open,8
front,8
turn,8
grove,8
cut,8
kendl,8
shut,8
hit,8
van,8
start,8
bitch,8
zero,8
towards,7
leave,7
life,7
three,7
new,7
ring,7
bad,7
guess,7
maybe,7
listen,7
long,7
spot,7
straight,7
relax,7
territory,7
must,7
money,7
run,7
shoot,7
hello,7
care,7
hang,6
eh,6
deal,6
check,6
knock,6
gangsta,6
game,6
patrol,6
try,6
catch,6
much,6
drive,6
call,6
people,6
last,6
stay,6
shop,6
miss,6
even,6
sound,6
ground,6
everything,6
bone,6
family,6
assistant,6
heist,6
jump,6
outta,5
bro,5
could,5
stick,5
nice,5
ride,5
asshole,5
ese,5
pulaski,5
station,5
los,5
santos,5
drug,5
rhyme,5
hide,5
fly,5
fast,5
town,5
show,5
rob,5
wanna,5
four,5
aw,5
bet,5
city,5
mind,5
jethro,5
would,5
plane,5
card,5
cup,5
move,5
fire,5
johnny,5
crazy,4
break,4
park,4
paper,4
boy,4
pop,4
really,4
since,4
trouble,4
punk,4
sit,4
lose,4
feel,4
tired,4
lot,4
tight,4
og,4
book,4
anything,4
recording,4
route,4
heavy,4
gsf,4
exit,4
name,4
bullshit,4
gang,4
gas,4
nah,4
sis,4
might,4
wrong,4
bike,4
also,4
minute,4
everybody,4
business,4
alone,4
next,4
cop,4
drop,4
berkley,4
away,4
worry,4
onto,4
maria,4
lab,4
finish,4
spray,4
control,4
top,4
planning,4
triad,4
together,3
old,3
dealer,3
foot,3
though,3
fat,3
moms,3
kind,3
throw,3
emmet,3
cat,3
agent,3
ready,3
girl,3
jeffrey,3
lock,3
sneak,3
touch,3
fierro,3
careful,3
dog,3
face,3
rap,3
believe,3
studio,3
mansion,3
stealth,3
first,3
weapon,3
past,3
five,3
bottom,3
either,3
building,3
meeting,3
gain,3
green,3
low,3
battle,3
friend,3
lady,3
god,3
yet,3
farm,3
several,3
handle,3
without,3
bank,3
cash,3
worker,3
heart,3
remember,3
liberty,3
stuff,3
snake,3
whole,3
world,3
trip,3
dwaine,3
hard,3
exactly,3
code,3
hotel,3
service,3
destroy,3
develop,3
playa,3
sir,3
club,3
job,3
end,3
along,3
easy,3
farlie,3
swim,3
black,3
lookin,3
showroom,3
probably,3
stop,3
airfield,3
airstrip,3
crate,3
access,3
jet,3
pack,3
stand,3
tie,3
golf,3
blow,3
dynamite,3
block,3
packer,3
factory,3
grip,3
salvatore,3
ledge,3
home,3
crib,3
strap,2
bridge,2
kinda,2
small,2
base,2
near,2
yard,2
number,2
wish,2
happenin,2
crouch,2
eye,2
dirty,2
sister,2
vagos,2
alongside,2
baseball,2
bat,2
officer,2
unity,2
san,2
woman,2
company,2
boxville,2
oooh,2
strong,2
hernandez,2
part,2
wear,2
national,2
serious,2
party,2
ever,2
swear,2
