lemma,count
cj,19
catalina,18
man,15
go,13
fucking,9
fuck,8
carl,8
say,5
love,5
house,5
see,4
real,4
hand,4
goodbye,4
bitch,4
think,4
sorry,4
keep,4
walk,4
bike,4
johnson,4
like,4
yes,4
hit,4
car,4
asshole,3
blow,3
business,3
eh,3
hm,3
outside,3
money,3
quad,3
shoot,3
one,3
stupid,3
backroom,3
kill,3
woman,3
miss,3
want,2
big,2
ball,2
let,2
maricon,2
take,2
tanker,2
hmm,2
move,2
away,2
ha,2
soon,2
time,2
really,2
come,2
bank,2
ass,2
whore,2
oh,2
door,2
panic,2
button,2
worker,2
warn,2
safe,2
ok,2
employee,2
farm,2
mean,2
crowbar,2
need,2
release,2
jealous,2
race,2
truth,2
fatso,1
streak,1
yankee,1
piss,1
eunuchs,1
slash,1
knife,1
hold,1
neck,1
cesar,1
whatever,1
taking,1
suit,1
change,1
plan,1
hello,1
whittaker,1
rig,1
full,1
brim,1
premium,1
gas,1
nice,1
motel,1
tenpenny,1
sit,1
chair,1
stone,1
still,1
drug,1
cabron,1
huh,1
prove,1
talk,1
ohhh,1
gun,1
mmm,1
liquor,1
store,1
place,1
park,1
cowboy,1
bastard,1
ride,1
bleed,1
mother,1
fucker,1
drive,1
hop,1
onto,1
handsome,1
next,1
play,1
rough,1
rob,1
mi,1
amor,1
get,1
right,1
shove,1
grenade,1
prick,1
rack,1
torture,1
never,1
write,1
call,1
treat,1
fast,1
hard,1
deeper,1
sigh,1
yeah,1
enough,1
open,1
face,1
leave,1
child,1
alarm,1
bullet,1
proof,1
glass,1
way,1
customer,1
instead,1
satchel,1
charge,1
plant,1
collect,1
sloth,1
impress,1
cut,1
storm,1
television,1
read,1
book,1
hear,1
music,1
well,1
give,1
partner,1
bad,1
mood,1
today,1
everybody,1
especially,1
crowd,1
control,1
shit,1
every,1
last,1
dollar,1
empty,1
idiot,1
four,1
cover,1
grab,1
follow,1
day,1
realize,1
truly,1
heart,1
break,1
two,1
spiny,1
lizard,1
pig,1
repay,1
tenderness,1
prefer,1
curve,1
kind,1
interested,1
long,1
late,1
another,1
passion,1
hole,1
good,1
fry,1
pan,1
sleep,1
new,1
kiss,1
early,1
fight,1
coward,1
unfair,1
advantage,1
clever,1
point,1
satisfy,1
fully,1
slip,1
paper,1
deed,1
garage,1
san,1
fierro,1
lover,1
liberty,1
city,1
enter,1
briefcase,1
exercise,1
