lemma,count
cj,4
leave,2
woozie,2
da,2
nang,2
boys,2
johnson,2
two,2
car,2
strap,2
water,2
ship,2
shuk,1
foo,1
would,1
like,1
package,1
retrieve,1
courier,1
drop,1
airport,1
important,1
matter,1
hand,1
triad,1
mountain,1
boy,1
follow,1
watch,1
apartment,1
soon,1
attempt,1
assassination,1
include,1
farlie,1
find,1
funny,1
success,1
reward,1
motorbike,1
pull,1
alongside,1
still,1
outside,1
gas,1
station,1
countryside,1
phone,1
ring,1
guppy,1
ok,1
yes,1
take,1
safety,1
thank,1
hey,1
rollin,1
whirl,1
helicopter,1
fall,1
towards,1
hit,1
go,1
brace,1
impact,1
near,1
