lemma,count
get,12
cj,10
jizzy,9
go,8
man,8
baby,7
bone,7
see,5
walk,5
hos,5
bitch,5
know,5
want,5
car,5
mink,4
like,4
pimp,4
hotel,4
playa,4
mobile,4
talk,4
think,4
oh,4
try,3
say,3
street,3
got,3
downtown,3
gimme,3
ho,3
one,3
girl,3
ass,3
back,3
make,3
come,3
club,3
carl,3
hey,3
enter,2
trick,2
friend,2
peel,2
problem,2
little,2
dumb,2
muscle,2
fix,2
two,2
eye,2
shit,2
fuck,2
week,2
find,2
wait,2
pretty,2
young,2
drop,2
run,2
deal,2
real,2
bad,2
game,2
take,2
park,2
front,2
way,2
keep,2
away,2
listen,2
mike,2
face,2
liability,2
math,2
huh,2
mean,2
van,2
package,2
screen,2
let,2
partner,2
well,2
room,2
shut,2
kind,2
wise,2
lord,2
building,2
everything,1
sheet,1
coat,1
curtain,1
window,1
stair,1
carpet,1
need,1
mention,1
slight,1
something,1
might,1
able,1
intellectual,1
bar,1
drink,1
fly,1
hundred,1
everywhere,1
lunatic,1
fucker,1
kill,1
last,1
thang,1
use,1
phone,1
ring,1
ding,1
watch,1
rim,1
treat,1
pope,1
stay,1
church,1
errand,1
buck,1
hashbury,1
eyeball,1
punk,1
ice,1
pretender,1
worry,1
worried,1
foster,1
valley,1
knuckle,1
nose,1
around,1
luck,1
charm,1
clucky,1
sugar,1
daddy,1
nobody,1
turn,1
example,1
near,1
preacher,1
limousine,1
right,1
hand,1
apb,1
dump,1
whatever,1
ok,1
important,1
retard,1
amigo,1
reverse,1
mind,1
type,1
fool,1
sell,1
soul,1
guy,1
screw,1
cat,1
tongue,1
mathematic,1
invent,1
bust,1
couple,1
melon,1
shipment,1
ambush,1
could,1
dea,1
trap,1
four,1
drive,1
motorbike,1
carry,1
chase,1
biker,1
collect,1
pump,1
brake,1
chill,1
pill,1
lay,1
red,1
mist,1
fall,1
brother,1
look,1
hero,1
still,1
good,1
jet,1
towards,1
time,1
provider,1
special,1
call,1
moment,1
hustle,1
cutthroat,1
gesture,1
handle,1
business,1
push,1
onto,1
ever,1
word,1
book,1
proverb,1
pull,1
silence,1
pistol,1
hold,1
wrong,1
imperfect,1
smart,1
dear,1
whatchoo,1
somebody,1
cap,1
nigga,1
escaping,1
hunt,1
cesar,1
roof,1
