lemma,count
get,11
carl,10
look,9
go,9
think,7
know,6
cesar,6
hey,6
like,5
right,5
shit,5
make,5
let,4
huh,4
cj,4
life,4
property,4
work,4
yeah,4
see,3
want,3
wrong,3
two,3
well,3
ok,3
bullshit,3
something,3
business,3
place,3
good,2
guess,2
sweet,2
fuck,2
hooker,2
brother,2
come,2
dickhead,2
lose,2
new,2
grove,2
garage,2
idiot,2
nothing,2
turn,2
foot,2
money,2
thing,2
keep,2
say,2
suppose,2
boy,2
check,2
careful,2
try,2
hear,2
san,2
fierro,2
lawyer,2
smoke,2
always,2
problem,2
tired,1
act,1
ohhh,1
narrow,1
minded,1
hypocrite,1
gang,1
banger,1
tell,1
senseless,1
killing,1
boyfriend,1
southside,1
name,1
hernandez,1
lopez,1
either,1
racist,1
moms,1
raise,1
oh,1
would,1
date,1
one,1
mindless,1
friend,1
alright,1
eee,1
since,1
low,1
rider,1
shake,1
whatever,1
hand,1
hug,1
kendl,1
baby,1
start,1
bad,1
ese,1
hell,1
macho,1
house,1
take,1
around,1
fucking,1
whole,1
enough,1
help,1
stop,1
trip,1
man,1
find,1
way,1
pay,1
development,1
buy,1
dump,1
fix,1
sell,1
yet,1
snowball,1
big,1
concentrate,1
asshole,1
construction,1
worker,1
hill,1
great,1
venture,1
save,1
worthless,1
ladder,1
ces,1
almost,1
live,1
normal,1
far,1
street,1
next,1
kid,1
bore,1
audition,1
midget,1
real,1
talent,1
drug,1
sex,1
wish,1
luck,1
drive,1
back,1
uh,1
first,1
wanna,1
hook,1
guy,1
los,1
santos,1
fine,1
madd,1
dogg,1
safe,1
bring,1
bastard,1
pulaski,1
probably,1
dead,1
rest,1
tenpenny,1
talk,1
tv,1
lack,1
evidence,1
client,1
district,1
attorney,1
office,1
fit,1
drop,1
charge,1
glad,1
finally,1
self,1
venturas,1
never,1
end,1
hit,1
casino,1
roll,1
dice,1
woozie,1
