lemma,count
go,11
get,8
boss,8
calm,8
ok,7
ken,7
oh,6
come,6
one,5
johnny,5
doorman,5
let,4
fuck,4
know,4
paul,4
family,4
ha,4
yeah,4
please,4
huh,4
away,3
well,3
fucking,3
screw,3
run,3
something,3
town,3
right,3
wall,3
cj,3
room,3
rosenberg,3
killer,3
day,2
peace,2
anyone,2
hello,2
guy,2
shit,2
mafia,2
liberty,2
city,2
tony,2
mean,2
bullet,2
back,2
absolutely,2
still,2
detail,2
rosie,2
hey,2
uh,2
real,2
move,2
maccer,2
remember,2
migraine,1
god,1
despair,1
complete,1
pray,1
escape,1
perpetual,1
torment,1
retire,1
comfort,1
million,1
mile,1
ever,1
instead,1
pleasant,1
surprise,1
hell,1
fitting,1
sit,1
neck,1
river,1
every,1
gorilla,1
los,1
santos,1
pissing,1
face,1
kent,1
witness,1
numerous,1
oppressively,1
insurmountable,1
depressingly,1
typical,1
even,1
mention,1
really,1
throw,1
power,1
money,1
lady,1
could,1
lay,1
blow,1
rehab,1
everything,1
start,1
represent,1
mob,1
end,1
would,1
trust,1
another,1
casino,1
put,1
forth,1
neutral,1
party,1
spend,1
wait,1
cap,1
blame,1
friend,1
bird,1
name,1
sindaccos,1
warpath,1
terrible,1
happen,1
shock,1
induce,1
coma,1
hospital,1
across,1
forellis,1
take,1
opportunity,1
rub,1
hit,1
succeed,1
turf,1
axe,1
machete,1
whatever,1
baby,1
show,1
road,1
least,1
frame,1
mind,1
minute,1
splatter,1
brain,1
beautiful,1
great,1
idea,1
work,1
time,1
mumbles,1
need,1
grip,1
yes,1
grab,1
bull,1
horn,1
tear,1
forget,1
look,1
pull,1
carry,1
squirt,1
ass,1
floor,1
far,1
meat,1
factory,1
two,1
guard,1
door,1
boy,1
tell,1
see,1
much,1
eat,1
morning,1
wheelchair,1
pretty,1
good,1
diarrhoea,1
cool,1
tenpenny,1
pulaski,1
barbecue,1
outside,1
house,1
turn,1
eerr,1
man,1
army,1
dependable,1
total,1
maniac,1
maybe,1
couch,1
hang,1
upside,1
waaarrrggghhh,1
comfortable,1
fine,1
heh,1
job,1
together,1
carl,1
use,1
call,1
ice,1
cold,1
course,1
moron,1
enter,1
saint,1
mark,1
bistro,1
forelli,1
bodyguard,1
mr,1
dogg,1
announcement,1
tissue,1
nose,1
stop,1
anybody,1
pass,1
