lemma,count
cj,7
man,4
jump,4
garage,3
casino,3
rosie,3
come,3
run,2
get,2
car,2
crack,2
caligula,2
real,2
blast,1
moron,1
open,1
gate,1
three,1
towards,1
screen,1
warehouse,1
timer,1
rigged,1
blow,1
inside,1
lab,1
building,1
ground,1
cesar,1
jethro,1
dwaine,1
play,1
card,1
zero,1
back,1
say,1
fuck,1
murmur,1
leave,1
somebody,1
take,1
care,1
joker,1
outside,1
two,1
woozie,1
assistant,1
drive,1
think,1
go,1
discharge,1
til,1
tomorrow,1
maccer,1
paul,1
room,1
snort,1
drug,1
also,1
along,1
madd,1
dogg,1
use,1
chart,1
top,1
cat,1
playa,1
yeah,1
good,1
odd,1
