lemma,count
cj,9
get,8
man,5
car,5
time,4
suck,3
go,3
come,3
need,3
awards,3
show,3
vietnamese,3
yo,2
shit,2
damn,2
bad,2
walk,2
via,2
radio,2
hey,2
boss,2
cut,2
position,2
let,2
bitch,2
lose,2
dai,2
four,2
woozie,2
coordinate,2
truck,2
one,2
good,2
screen,2
case,2
rank,2
name,2
toreno,2
assistant,2
mean,1
could,1
refraction,1
mess,1
tanner,1
ass,1
burger,1
shot,1
og,1
loc,1
stand,1
outside,1
keep,1
pick,1
hold,1
middle,1
motorcade,1
stick,1
close,1
roll,1
wait,1
people,1
leave,1
scipio,1
along,1
woman,1
bullet,1
proof,1
glass,1
fuck,1
call,1
sheriff,1
catalina,1
tanker,1
two,1
shop,1
another,1
crappy,1
job,1
crazy,1
derek,1
stop,1
bastard,1
lo,1
forgive,1
scared,1
fight,1
hide,1
surprise,1
pull,1
turn,1
deal,1
speed,1
commitment,1
gps,1
cab,1
set,1
map,1
quick,1
make,1
back,1
fail,1
sorry,1
know,1
basis,1
oh,1
thing,1
baby,1
wheel,1
steering,1
instead,1
handbrake,1
luck,1
well,1
see,1
compare,1
table,1
heading,1
monster,1
column,1
early,1
semi,1
hard,1
touch,1
towards,1
house,1
tap,1
shoulder,1
fireman,1
drive,1
casino,1
garage,1
hand,1
camera,1
film,1
want,1
buy,1
blender,1
really,1
sort,1
work,1
