lemma,count
millie,10
cj,7
get,5
sex,5
house,5
shop,4
inside,4
outside,3
oh,3
benny,3
see,2
screen,2
close,2
enter,2
cubicle,2
assistant,2
master,2
come,2
know,2
woozie,2
room,2
another,1
shift,1
tomorrow,1
spook,1
far,1
ahead,1
lose,1
change,1
wait,1
wow,1
nice,1
tight,1
perfect,1
phone,1
ring,1
hi,1
yes,1
try,1
cool,1
short,1
dress,1
gimp,1
suit,1
croupier,1
leave,1
follow,1
remember,1
door,1
open,1
join,1
think,1
ready,1
never,1
break,1
minx,1
camera,1
focus,1
moan,1
pleasure,1
complain,1
sicken,1
act,1
suzie,1
zero,1
one,1
occupant,1
two,1
man,1
planning,1
