lemma,count
fuck,5
oh,5
go,5
ooh,4
tit,3
twat,3
fucking,3
feel,3
man,3
love,3
eh,2
wank,2
turn,2
shite,2
get,2
rag,2
paul,2
maccer,2
cj,2
like,2
snake,2
farm,2
peak,2
right,2
top,2
fuckin,2
come,2
maggie,2
ere,1
kin,1
ell,1
hang,1
dunno,1
mate,1
dream,1
fat,1
bird,1
peyote,1
lucky,1
bring,1
tab,1
along,1
piss,1
kidder,1
raspberry,1
leg,1
use,1
ah,1
anybody,1
hand,1
away,1
sigh,1
disgustedly,1
charming,1
well,1
could,1
honest,1
walk,1
towards,1
two,1
hillbilly,1
stand,1
outside,1
look,1
salford,1
grab,1
big,1
want,1
speckled,1
doves,1
boss,1
one,1
range,1
fanny,1
pool,1
pabsy,1
miss,1
bit,1
drug,1
buzz,1
blood,1
pressure,1
alone,1
salvatore,1
throw,1
knife,1
board,1
happy,1
sack,1
backup,1
without,1
sorry,1
geez,1
groupie,1
great,1
hear,1
thing,1
bunch,1
wanker,1
unbearable,1
know,1
arrest,1
numerous,1
time,1
totally,1
natural,1
behaviour,1
decide,1
breast,1
implant,1
yeah,1
