lemma,count
cj,9
man,7
go,7
know,6
fuck,6
shit,6
get,6
oh,4
rhyme,4
jump,4
back,4
woah,3
book,3
loc,3
fake,3
ass,3
gangsta,3
stay,3
phrase,3
madd,3
dogg,3
mansion,3
yeah,3
gimme,3
think,2
manager,2
og,2
rapper,2
away,2
ah,2
one,2
brandy,2
another,2
clean,2
time,2
baby,2
big,2
video,2
mother,2
fucker,2
hos,2
bitch,2
shut,1
end,1
wuh,1
ohhh,1
sh,1
give,1
kill,1
asshole,1
steal,1
rough,1
kid,1
like,1
whatever,1
name,1
bullshit,1
liquor,1
friend,1
waah,1
hate,1
good,1
universe,1
wa,1
god,1
damn,1
warn,1
screen,1
catch,1
land,1
cardboard,1
box,1
truck,1
outside,1
hospital,1
carl,1
need,1
new,1
thought,1
might,1
look,1
dude,1
easy,1
step,1
almost,1
ready,1
want,1
home,1
thank,1
playa,1
come,1
enough,1
bedroom,1
hear,1
seize,1
nah,1
exactly,1
nobody,1
poppa,1
thing,1
happen,1
powerless,1
fault,1
word,1
hold,1
see,1
fool,1
something,1
familiar,1
kick,1
money,1
shoot,1
today,1
phony,1
sum,1
chain,1
hovercraft,1
phoney,1
artist,1
buster,1
little,1
smack,1
dog,1
break,1
face,1
right,1
jimmy,1
appear,1
room,1
excuse,1
justice,1
mean,1
first,1
gold,1
record,1
everybody,1
cheer,1
tour,1
fan,1
