lemma,count
man,29
loc,18
get,16
og,15
cj,15
hey,12
homie,9
go,9
dogg,8
fucker,7
real,7
madd,7
mother,6
gangsta,6
yeah,6
rap,6
shit,5
like,5
party,5
rhyme,4
come,4
know,4
talk,4
yo,4
back,4
say,4
burger,4
shot,4
house,4
carl,4
well,4
want,4
take,4
push,4
think,3
fuck,3
damn,3
keep,3
fool,3
big,3
sound,3
baby,3
kick,3
place,3
gun,3
face,3
right,3
tell,3
hear,3
girl,3
gimme,2
give,2
freddy,2
make,2
run,2
thing,2
ass,2
let,2
roll,2
outside,2
smoke,2
leave,2
put,2
album,2
first,2
system,2
check,2
fly,2
beach,2
way,2
something,2
feel,2
whack,2
enter,2
somebody,2
nighter,2
righter,2
book,2
artiste,2
nothing,2
wanna,2
nigga,2
nobody,2
listen,2
one,2
three,2
technician,2
bitch,2
grove,2
street,2
drop,2
still,2
sweet,2
kill,1
cholo,1
dissin,1
steal,1
east,1
flores,1
strap,1
spot,1
ignore,1
thief,1
eh,1
protect,1
rep,1
stand,1
dead,1
body,1
unlike,1
fake,1
nah,1
sign,1
job,1
sure,1
pull,1
thank,1
ride,1
strange,1
quarter,1
pound,1
later,1
walk,1
door,1
tenpenny,1
pulaski,1
yet,1
gig,1
together,1
listening,1
need,1
guarantee,1
start,1
play,1
love,1
catch,1
cruise,1
thru,1
head,1
couple,1
freestyle,1
stop,1
life,1
drive,1
van,1
garage,1
bathroom,1
mop,1
bucket,1
little,1
call,1
hard,1
anybody,1
world,1
could,1
toilet,1
cubicle,1
write,1
might,1
find,1
ghost,1
writer,1
become,1
reciter,1
home,1
hill,1
help,1
hot,1
fire,1
hit,1
holme,1
ice,1
cold,1
dude,1
peace,1
tight,1
bust,1
happy,1
hell,1
much,1
long,1
rather,1
inside,1
deal,1
always,1
scipio,1
manager,1
heavy,1
crampin,1
style,1
strong,1
blackball,1
game,1
artist,1
communicator,1
even,1
message,1
around,1
everybody,1
frown,1
town,1
sad,1
clown,1
mean,1
date,1
attend,1
award,1
ceremony,1
time,1
side,1
park,1
car,1
care,1
whassup,1
cell,1
may,1
last,1
chance,1
slide,1
bombastic,1
fantastic,1
ready,1
bikinis,1
video,1
brother,1
chronicler,1
struggle,1
voice,1
families,1
moses,1
niggaz,1
speak,1
look,1
uuuuuuuupppp,1
punch,1
waist,1
ryder,1
gsf,1
prove,1
mistake,1
alkie,1
credit,1
next,1
hold,1
money,1
royalty,1
drunk,1
lunch,1
bend,1
pick,1
outta,1
