lemma,count
maccer,12
rosie,10
cj,8
go,7
son,5
fucking,4
casino,4
sweet,4
come,4
paul,4
oh,3
caligula,3
enter,3
madd,3
dogg,3
fuck,2
tell,2
stand,2
get,2
gig,2
northerners,2
walk,2
towards,2
see,2
door,2
kent,2
oi,2
paulo,2
carl,2
matter,2
alright,2
bruv,2
give,2
outside,2
leave,2
yeah,2
mate,2
carry,2
man,2
tit,2
right,2
sunshine,2
og,2
loc,2
stone,1
bloody,1
crow,1
psycho,1
million,1
time,1
put,1
stuff,1
drink,1
raspberry,1
soppy,1
cunt,1
every,1
weekend,1
try,1
pal,1
venturas,1
string,1
talk,1
bollock,1
penny,1
pound,1
let,1
room,1
inside,1
knock,1
assistant,1
open,1
rosiiieee,1
old,1
boy,1
help,1
space,1
would,1
tinkle,1
later,1
unbelievable,1
phone,1
woozie,1
liven,1
dimlo,1
wrong,1
regard,1
well,1
shall,1
crack,1
spit,1
love,1
thing,1
bad,1
good,1
doctor,1
revive,1
patient,1
rack,1
meat,1
factory,1
maria,1
perhaps,1
cure,1
little,1
antisocial,1
condition,1
please,1
alone,1
wank,1
manky,1
mongrel,1
choke,1
gecko,1
first,1
place,1
remember,1
happen,1
hamburg,1
groupie,1
roadie,1
recording,1
equipment,1
stop,1
work,1
dunno,1
hold,1
responsible,1
dodgy,1
gear,1
happenin,1
mind,1
rap,1
toreno,1
crib,1
car,1
resist,1
eh,1
fight,1
urge,1
think,1
thatcher,1
head,1
pull,1
location,1
video,1
shoot,1
reporter,1
shut,1
ya,1
