lemma,count
pulaski,8
carl,5
cj,5
yeah,5
hernandez,5
go,4
get,4
fucking,4
tenpenny,4
fuck,4
want,3
car,3
smoke,3
screen,3
away,3
watch,2
prick,2
work,2
catch,2
well,2
take,2
care,2
little,2
outside,2
long,2
mount,2
chiliad,2
way,2
officer,2
cabin,2
snitch,2
two,2
man,2
know,2
boy,2
suppose,2
report,2
shut,2
good,2
run,2
throw,1
cigarette,1
later,1
homeboy,1
crime,1
certainly,1
since,1
back,1
kid,1
sound,1
like,1
excuse,1
understand,1
somehow,1
nobody,1
yet,1
favour,1
police,1
still,1
piss,1
side,1
road,1
exactly,1
tell,1
learn,1
lesson,1
time,1
ago,1
let,1
air,1
fucker,1
shove,1
gun,1
face,1
mean,1
necessary,1
reason,1
problem,1
former,1
friend,1
seem,1
disagree,1
method,1
see,1
hide,1
someplace,1
manipulate,1
testimony,1
sort,1
sleep,1
easy,1
night,1
evidence,1
talk,1
tree,1
half,1
near,1
inside,1
fed,1
remember,1
need,1
photo,1
one,1
piece,1
drive,1
catalina,1
bar,1
threaten,1
knife,1
enter,1
hmmm,1
wonder,1
brother,1
sleeping,1
curl,1
next,1
shower,1
daddy,1
live,1
comfortably,1
hell,1
would,1
street,1
stoolie,1
hey,1
listen,1
meat,1
woah,1
hope,1
keep,1
wait,1
holme,1
ha,1
bet,1
dossier,1
hand,1
hit,1
head,1
spade,1
whuh,1
frank,1
relax,1
awright,1
deep,1
enough,1
scum,1
wake,1
behind,1
shoot,1
fall,1
ditch,1
die,1
leant,1
bleed,1
break,1
sister,1
