lemma,count
officer,4
pulaski,2
fellow,2
congratulation,1
award,1
must,1
thrill,1
tv,1
eddie,1
frank,1
tenpenny,1
hard,1
work,1
member,1
community,1
police,1
unit,1
charge,1
racketeering,1
corruption,1
narcotic,1
sexual,1
assault,1
conspire,1
kill,1
ralph,1
pendelbury,1
threaten,1
turn,1
state,1
evidence,1
find,1
shoot,1
dead,1
supposedly,1
unrelated,1
gang,1
incident,1
retract,1
witness,1
statement,1
disappearance,1
jimmy,1
hernandez,1
believe,1
run,1
cut,1
later,1
day,1
oh,1
wait,1
exit,1
courtroom,1
surprise,1
decision,1
wholly,1
unprecedented,1
los,1
santos,1
burn,1
tonight,1
