lemma,count
cj,38
man,26
get,21
ryder,20
fool,17
shit,14
homie,14
go,12
hey,11
yeah,10
grove,9
sweet,9
drive,9
street,8
damn,8
tell,6
back,6
look,6
house,6
smoke,6
fuck,6
car,6
nigga,5
let,5
know,5
something,5
crack,5
right,5
og,5
enter,5
come,5
say,5
mother,5
fucker,5
oh,4
outside,4
old,4
busta,4
well,4
place,3
hit,3
walk,3
one,3
phrase,3
always,3
eat,3
gun,3
run,3
big,3
balla,3
like,3
east,3
army,3
van,3
wet,3
strap,3
sure,2
pizza,2
keep,2
fucking,2
bitch,2
another,2
take,2
still,2
hood,2
finish,2
food,2
raid,2
drop,2
see,2
later,2
play,2
yard,2
good,2
door,2
dope,2
drug,2
check,2
use,2
front,2
den,2
away,2
real,2
try,2
want,2
around,2
spot,2
along,2
make,2
bullshit,2
park,2
put,2
need,2
deal,2
lb,2
school,2
joint,2
beach,2
wait,2
pull,2
stop,2
boy,2
chill,2
gsf,2
tight,2
life,2
huh,2
national,2
guard,2
outta,2
loc,2
bad,1
crackin,1
paint,1
beautiful,1
teach,1
owner,1
lesson,1
ahhh,1
barber,1
crazy,1
jack,1
reece,1
ridiculous,1
respect,1
clean,1
skinny,1
care,1
business,1
order,1
counter,1
hold,1
give,1
money,1
straight,1
employee,1
fire,1
towards,1
yap,1
graffiti,1
basketball,1
nah,1
homeboy,1
bear,1
side,1
slow,1
even,1
knock,1
bang,1
fiend,1
addict,1
everywhere,1
city,1
piss,1
somebody,1
selling,1
dealer,1
cat,1
punk,1
idlewood,1
across,1
track,1
ooo,1
eee,1
smell,1
mile,1
afternoon,1
pusher,1
damage,1
base,1
push,1
face,1
maybe,1
bangin,1
leave,1
taco,1
chicken,1
thru,1
cluckin,1
bell,1
gimme,1
number,1
beef,1
trash,1
kilo,1
tray,1
scope,1
manage,1
second,1
pencil,1
whip,1
fat,1
sucker,1
first,1
game,1
null,1
void,1
time,1
whassup,1
coast,1
idiot,1
crash,1
reason,1
disrespect,1
listen,1
tree,1
water,1
little,1
thing,1
emmet,1
neither,1
apart,1
till,1
overlook,1
yet,1
dark,1
catch,1
bed,1
point,1
ground,1
storm,1
ninja,1
style,1
bastard,1
carl,1
ok,1
watch,1
boxville,1
simple,1
head,1
everyday,1
holme,1
think,1
cook,1
could,1
find,1
bury,1
easy,1
call,1
move,1
hand,1
tenpenny,1
bottle,1
brew,1
sweat,1
asshole,1
behind,1
hop,1
stamp,1
driveway,1
stuff,1
stash,1
hear,1
garden,1
yeeaahh,1
high,1
either,1
intelligent,1
genius,1
anybody,1
depot,1
weekend,1
soldier,1
match,1
sixth,1
last,1
crate,1
enough,1
alleyway,1
complain,1
burger,1
shot,1
mop,1
bucket,1
whack,1
music,1
lyric,1
horrible,1
hell,1
three,1
family,1
every,1
bedroom,1
jefferson,1
motel,1
two,1
policeman,1
motorbike,1
doughnut,1
