lemma,count
like,4
well,3
get,3
heh,3
forelli,3
kid,2
man,2
know,2
send,2
hit,2
take,2
want,2
cj,2
plane,2
pretty,1
thing,1
girl,1
name,1
hear,1
bird,1
asshole,1
joey,1
crew,1
flight,1
soon,1
travel,1
string,1
quartet,1
go,1
boy,1
little,1
welcome,1
committee,1
uh,1
maybe,1
care,1
stay,1
rosenberg,1
lose,1
jump,1
land,1
another,1
stand,1
outside,1
house,1
desert,1
tenpenny,1
pulaski,1
hernandez,1
pull,1
feel,1
weight,1
weapon,1
sweetheart,1
hey,1
one,1
blame,1
front,1
carl,1
look,1
piece,1
shit,1
rosie,1
right,1
real,1
number,1
loser,1
time,1
find,1
mean,1
screw,1
salvatore,1
leone,1
would,1
mark,1
bistro,1
