lemma,count
cj,51
get,46
sweet,42
go,35
man,31
shit,21
hood,18
back,17
ballas,16
car,16
let,15
house,15
like,14
homie,14
know,13
pull,13
yeah,13
see,12
grove,12
street,12
smoke,12
look,11
outside,11
take,10
carl,10
nigga,10
mean,9
right,9
say,9
one,9
big,8
set,7
roll,7
hey,7
ryder,7
good,7
need,7
come,7
boy,6
run,6
two,6
whassup,6
families,6
ok,6
hit,5
brother,5
crack,5
care,5
fool,5
four,5
girl,5
kendl,5
enter,5
meet,5
og,5
home,5
fuck,5
want,5
fat,4
think,4
wait,4
drive,4
something,4
place,4
money,4
business,4
show,4
heat,4
listen,4
mother,4
fucker,4
loc,4
real,4
tenpenny,4
ass,4
everybody,4
family,4
keep,4
cesar,4
away,4
screen,4
dup,4
madd,4
dogg,4
word,3
wanna,3
watch,3
tag,3
another,3
ride,3
catch,3
make,3
gang,3
try,3
put,3
emmet,3
day,3
dog,3
dead,3
time,3
seville,3
baby,3
kill,3
love,3
sound,3
somebody,3
nah,3
later,3
guy,3
block,3
huh,3
wall,3
appear,3
alleyway,3
king,3
jefferson,3
motel,3
probably,3
lot,3
use,3
alright,3
always,3
mom,3
bear,3
caine,3
fucking,3
together,3
truth,3
around,2
johnson,2
first,2
already,2
play,2
walk,2
follow,2
aw,2
little,2
balla,2
quick,2
beer,2
nobody,2
give,2
ruin,2
ever,2
tight,2
idiot,2
handle,2
momma,2
nothing,2
speak,2
damn,2
also,2
stop,2
three,2
cholo,2
thing,2
happen,2
leroy,2
well,2
exactly,2
problem,2
low,2
jeffrey,2
bitch,2
talk,2
bangin,2
freddy,2
cool,2
door,2
fella,2
road,2
gsf,2
bridge,2
party,2
hear,2
peep,2
lay,2
niggaz,2
map,2
life,2
jump,2
wear,2
might,2
stay,2
tv,2
base,2
chopper,2
still,2
onto,2
slow,2
serious,2
split,2
help,2
never,2
traffic,2
phone,2
bro,2
check,2
oh,2
drug,2
destroy,2
oughta,2
five,2
floor,2
gun,2
tell,2
half,2
act,2
maccer,2
gather,2
crib,2
year,2
lock,2
people,2
paint,1
start,1
spread,1
pork,1
chop,1
yard,1
ease,1
difficult,1
roller,1
spray,1
bike,1
feddy,1
sell,1
yay,1
smoking,1
mark,1
soldier,1
chump,1
sweat,1
pressure,1
slang,1
respect,1
number,1
extra,1
dip,1
even,1
jinx,1
comin,1
gangsta,1
mac,1
ak,1
kind,1
stuff,1
hand,1
easy,1
gunman,1
shotgun,1
trippin,1
near,1
turf,1
ready,1
concentrate,1
driving,1
shooting,1
meat,1
chit,1
chat,1
bia,1
pin,1
pronto,1
case,1
inside,1
tripping,1
unfinished,1
tired,1
kid,1
hernandez,1
lopez,1
racist,1
feel,1
dressed,1
hooker,1
protect,1
sister,1
sibling,1
club,1
mod,1
garage,1
willowfield,1
mechanic,1
rider,1
past,1
week,1
pick,1
touch,1
today,1
late,1
prison,1
perpetrate,1
stall,1
killer,1
talkin,1
rest,1
cover,1
head,1
weasel,1
bury,1
ball,1
sack,1
pop,1
graveyard,1
position,1
kane,1
busta,1
armour,1
round,1
drop,1
force,1
copy,1
porno,1
turn,1
unite,1
pump,1
full,1
long,1
argue,1
amongst,1
official,1
vote,1
representative,1
strictly,1
rep,1
per,1
thank,1
roof,1
police,1
hover,1
pavement,1
ah,1
woo,1
hittin,1
rat,1
clean,1
fight,1
enemy,1
bang,1
doubt,1
partner,1
downtown,1
mulholland,1
intersection,1
crossroad,1
ring,1
matter,1
cop,1
arrive,1
second,1
release,1
idea,1
square,1
precinct,1
commerce,1
new,1
clothe,1
bullshit,1
perpetrator,1
blender,1
dealer,1
healthy,1
member,1
high,1
able,1
rome,1
build,1
light,1
pipe,1
everything,1
whole,1
boil,1
dickhead,1
none,1
wig,1
colour,1
suppose,1
lucky,1
guard,1
neighbourhood,1
sew,1
snatch,1
tongue,1
wet,1
shirt,1
anyway,1
throw,1
someplace,1
old,1
way,1
change,1
whattup,1
cat,1
important,1
step,1
minute,1
exit,1
leave,1
job,1
finish,1
rapper,1
mansion,1
begin,1
end,1
forget,1
mister,1
uppity,1
cross,1
writing,1
disrespect,1
fair,1
hammer,1
sleep,1
beat,1
riot,1
secure,1
burn,1
careful,1
almost,1
control,1
confuse,1
yap,1
shoe,1
operation,1
rob,1
bread,1
liberty,1
city,1
parade,1
please,1
pay,1
debt,1
piece,1
ladder,1
fire,1
engine,1
hang,1
bullet,1
self,1
accident,1
blame,1
sure,1
foot,1
cuz,1
eye,1
front,1
open,1
rosie,1
paul,1
