lemma,count
know,5
boss,5
cj,5
guy,3
suzie,3
point,3
photo,3
hey,3
big,2
yes,2
good,2
call,2
woozie,2
police,2
could,2
take,2
loco,1
syndicate,1
pretty,1
time,1
think,1
dealing,1
touch,1
blow,1
run,1
thing,1
name,1
another,1
bone,1
mendez,1
muscle,1
cesar,1
jizzy,1
pimp,1
town,1
help,1
set,1
deal,1
concierge,1
sort,1
right,1
way,1
curse,1
blind,1
bless,1
unbelievable,1
fortune,1
triad,1
would,1
anything,1
lucky,1
mole,1
enter,1
upstairs,1
room,1
two,1
girl,1
leave,1
great,1
shot,1
arrive,1
coffee,1
doughnut,1
purposely,1
ignore,1
escort,1
whenever,1
move,1
cash,1
around,1
use,1
motorcycle,1
outrider,1
yeah,1
sky,1
crane,1
lift,1
whole,1
truck,1
someplace,1
safe,1
look,1
heeey,1
never,1
cease,1
amaze,1
insist,1
drive,1
anywhere,1
worry,1
lead,1
