lemma,count
carl,40
get,33
cj,21
go,14
tenpenny,12
yeah,8
know,8
man,7
oh,7
officer,7
time,7
pulaski,7
fuck,7
hey,6
take,6
come,6
let,6
shit,6
like,6
run,6
gun,6
good,5
train,5
try,5
asshole,5
town,5
fucking,5
truth,5
piece,5
yo,4
see,4
right,4
boy,4
mine,4
make,4
say,4
little,4
kill,4
find,4
drop,4
think,4
fire,4
one,4
bag,4
sweet,4
alive,4
want,4
pay,4
de,4
eye,3
bitch,3
something,3
ballas,3
drive,3
set,3
understand,3
well,3
another,3
never,3
inside,3
friend,3
street,3
job,3
cut,3
thing,3
life,3
huh,3
eddie,3
away,3
car,3
need,3
dig,3
keep,2
call,2
outta,2
smell,2
ryder,2
cook,2
mmm,2
anyway,2
stop,2
please,2
back,2
johnson,2
hernandez,2
guy,2
hole,2
cop,2
even,2
house,2
homie,2
burn,2
screen,2
building,2
put,2
gang,2
truly,2
help,2
bastard,2
attention,2
trouble,2
deal,2
half,2
since,2
head,2
intimidate,2
nice,2
brother,2
trash,2
soon,2
die,2
kid,2
stay,2
smoke,2
day,2
ass,2
catch,2
hand,2
enter,2
money,2
give,2
shut,2
reporter,2
place,2
meet,2
step,2
dossier,2
room,2
point,2
outside,2
open,2
mother,2
floor,2
boo,1
around,1
busy,1
hope,1
everything,1
morning,1
midget,1
prick,1
wife,1
love,1
stuff,1
unscheduled,1
way,1
board,1
square,1
business,1
respected,1
police,1
five,1
climb,1
onto,1
son,1
move,1
sit,1
finally,1
screw,1
straight,1
height,1
god,1
crap,1
work,1
earn,1
freedom,1
across,1
address,1
gangbanging,1
drug,1
pushing,1
sure,1
leave,1
neighbourhood,1
box,1
vagos,1
trap,1
girl,1
burning,1
save,1
walk,1
bedroom,1
denise,1
charge,1
end,1
violence,1
difficult,1
moral,1
position,1
hurt,1
poor,1
grove,1
status,1
quo,1
blow,1
gut,1
sidewalk,1
bring,1
tribe,1
unfair,1
advantage,1
brain,1
watch,1
news,1
tool,1
asse,1
bys,1
lot,1
cheap,1
america,1
fall,1
wall,1
check,1
bust,1
freight,1
warehouse,1
dockland,1
mean,1
feel,1
alright,1
ed,1
middle,1
nowhere,1
clean,1
air,1
prison,1
hospital,1
treat,1
gunshot,1
wound,1
await,1
trial,1
glad,1
moron,1
turn,1
sister,1
suck,1
grease,1
ball,1
dick,1
pretty,1
behave,1
nigga,1
loyalty,1
bullshit,1
learn,1
brian,1
idiot,1
useless,1
fight,1
crime,1
otherwise,1
block,1
touch,1
feminine,1
side,1
piss,1
anybody,1
fork,1
tongue,1
snake,1
cookie,1
jar,1
whistle,1
tune,1
internal,1
affairs,1
visit,1
destroy,1
evidence,1
testify,1
whatever,1
hush,1
supply,1
fine,1
weed,1
deliver,1
whuh,1
real,1
gooder,1
evil,1
green,1
poison,1
ruin,1
career,1
jet,1
exit,1
san,1
fierro,1
great,1
present,1
old,1
tip,1
vank,1
hoff,1
hotel,1
financial,1
peace,1
without,1
damn,1
bleed,1
heart,1
liberal,1
poke,1
nose,1
affair,1
woah,1
easy,1
ahead,1
young,1
journalist,1
name,1
dirt,1
talk,1
meeting,1
today,1
garage,1
start,1
rummage,1
bonnet,1
hello,1
long,1
believe,1
develop,1
last,1
despite,1
effort,1
gig,1
nearly,1
still,1
badge,1
pull,1
somebody,1
idea,1
edgy,1
barbecue,1
flame,1
blast,1
ruined,1
west,1
aldea,1
malvada,1
dea,1
fbi,1
agent,1
disappear,1
woozie,1
suzie,1
casino,1
farlie,1
snitch,1
vato,1
sell,1
us,1
spade,1
care,1
drunk,1
lay,1
problem,1
precinct,1
next,1
ditch,1
favour,1
fat,1
dumb,1
load,1
alone,1
couple,1
rookie,1
slowly,1
enough,1
chuck,1
firetruck,1
city,1
look,1
drag,1
patrol,1
beat,1
death,1
angry,1
mob,1
tonight,1
ding,1
answer,1
thank,1
almost,1
forgot,1
miss,1
full,1
downstairs,1
bullet,1
machinery,1
bang,1
cock,1
sucker,1
cause,1
explosion,1
lighting,1
whole,1
begin,1
quick,1
dive,1
big,1
crack,1
explode,1
behind,1
engine,1
fifty,1
would,1
ok,1
cough,1
cesar,1
kendl,1
appear,1
