lemma,count
get,40
cj,22
go,17
need,16
carl,13
toreno,10
ok,10
take,10
little,8
kid,8
guy,8
plane,8
outside,7
like,7
one,7
come,7
screen,7
make,6
watch,6
think,6
listen,6
know,6
well,6
let,5
good,5
see,5
say,5
man,5
work,5
try,5
people,5
thing,5
time,4
oh,4
two,4
house,4
big,4
want,4
right,4
worry,4
brother,4
country,4
cargo,4
control,4
shit,4
kill,4
look,4
military,4
jet,4
set,3
back,3
pull,3
grab,3
bike,3
hey,3
agency,3
yes,3
help,3
hero,3
nobody,3
kind,3
job,3
use,3
cut,3
towards,3
fat,3
white,3
inside,3
point,3
speaker,3
away,3
drop,3
put,3
russian,3
nice,3
airfield,3
phone,3
way,3
problem,3
stay,3
steal,3
ship,3
bone,2
life,2
shut,2
boy,2
meet,2
shipment,2
truck,2
calm,2
sit,2
drug,2
dealer,2
idea,2
fucking,2
government,2
important,2
last,2
latin,2
america,2
friend,2
overseas,2
buy,2
bullshit,2
relax,2
wait,2
enter,2
heart,2
prison,2
course,2
shoot,2
decision,2
bad,2
scumbag,2
keep,2
head,2
flare,2
sweet,2
guard,2
home,2
find,2
outta,2
jesus,2
equipment,2
zone,2
package,2
cost,2
believe,2
much,2
double,2
agent,2
spy,2
clearance,2
genital,2
hard,2
idiot,2
give,2
ring,2
fly,2
actually,2
sneak,2
dead,2
ready,2
question,2
situation,2
dictator,2
pick,2
middle,2
east,2
cause,2
yeah,2
plant,2
bomb,2
ramp,2
drive,2
huh,2
near,2
would,2
amphibious,2
assault,2
earpiece,2
gun,2
answer,2
fuck,1
hear,1
police,1
siren,1
torch,1
van,1
coke,1
twenty,1
comprende,1
amigo,1
exactly,1
call,1
shot,1
jizzy,1
club,1
johnson,1
today,1
play,1
around,1
great,1
late,1
factory,1
sure,1
worth,1
disguised,1
voice,1
darling,1
welcome,1
first,1
anger,1
hate,1
garage,1
spin,1
stand,1
next,1
monster,1
crusader,1
whatsoever,1
smart,1
ass,1
confuse,1
involve,1
battle,1
threat,1
means,1
neccessary,1
money,1
raise,1
win,1
immeasurably,1
interest,1
expect,1
fight,1
war,1
lose,1
communism,1
ohio,1
share,1
stuff,1
catch,1
commandeer,1
trucker,1
rival,1
confused,1
social,1
agenda,1
sister,1
boyfriend,1
tell,1
remember,1
leave,1
cesar,1
run,1
roger,1
monkey,1
vulture,1
acquire,1
drown,1
baby,1
moon,1
break,1
favour,1
state,1
wing,1
cell,1
left,1
child,1
killer,1
rip,1
throat,1
supremacist,1
eat,1
precise,1
tenpenny,1
pulaski,1
really,1
relatively,1
benign,1
unless,1
family,1
member,1
officer,1
pendelbury,1
threaten,1
expose,1
understand,1
knight,1
sometimes,1
die,1
collateral,1
delicate,1
colleague,1
pivot,1
remind,1
buggy,1
map,1
precious,1
collect,1
fine,1
touch,1
wife,1
murder,1
everything,1
talk,1
later,1
desert,1
mile,1
nicety,1
choose,1
vehicle,1
provide,1
light,1
arrive,1
hold,1
pilot,1
trouble,1
chopper,1
intercept,1
protect,1
helicopter,1
hut,1
las,1
brujas,1
always,1
read,1
book,1
amazing,1
history,1
lie,1
hitler,1
nuke,1
japan,1
sleep,1
night,1
guess,1
newsflash,1
something,1
shocker,1
alive,1
pro,1
panama,1
price,1
boris,1
ask,1
interrogate,1
style,1
calliper,1
feel,1
russians,1
whole,1
lid,1
gorbachev,1
strawberry,1
forehead,1
crown,1
jewel,1
still,1
property,1
offer,1
dollar,1
start,1
real,1
wet,1
soon,1
enough,1
girl,1
mission,1
new,1
base,1
operation,1
cute,1
learn,1
series,1
test,1
access,1
tv,1
prove,1
continue,1
freedom,1
scene,1
behind,1
got,1
half,1
asleep,1
could,1
different,1
wake,1
smell,1
coffee,1
field,1
nightfall,1
five,1
hill,1
satellite,1
death,1
wish,1
peace,1
son,1
yet,1
low,1
radar,1
post,1
dea,1
fbi,1
cuban,1
paymaster,1
cheque,1
balance,1
anybody,1
mean,1
traitor,1
another,1
department,1
finance,1
militaristic,1
exchange,1
arm,1
contact,1
degenerate,1
hell,1
principle,1
muddie,1
water,1
consignment,1
land,1
mine,1
plan,1
offload,1
ruckus,1
rambling,1
everybody,1
crazy,1
lot,1
normal,1
maim,1
curious,1
anyway,1
dirty,1
somebody,1
screw,1
tinder,1
box,1
speak,1
eliminate,1
fucker,1
schmill,1
hip,1
stealth,1
move,1
fast,1
trap,1
jump,1
explode,1
truth,1
top,1
old,1
piece,1
finally,1
never,1
string,1
communist,1
gate,1
ride,1
invite,1
housewarming,1
bring,1
speed,1
lane,1
river,1
week,1
destroy,1
flotilla,1
nothing,1
boat,1
gear,1
board,1
brief,1
trust,1
blow,1
bologna,1
sandwich,1
via,1
without,1
room,1
switch,1
sam,1
site,1
alert,1
three,1
hello,1
boss,1
care,1
business,1
tiny,1
forever,1
stop,1
pathetic,1
embarrass,1
ridiculous,1
push,1
surprise,1
precinct,1
