lemma,count
man,23
get,16
cj,16
go,13
truth,12
jethro,10
know,9
carl,9
friend,8
dude,7
pull,7
see,6
peace,6
outside,6
van,6
well,6
think,5
back,5
everything,5
look,5
work,5
zero,5
mean,4
traveller,4
mothership,4
oh,4
garage,4
fellow,4
good,4
try,4
hospital,4
drive,4
ok,4
shop,4
want,3
need,3
make,3
way,3
fantastic,3
guy,3
come,3
business,3
take,3
land,3
government,3
dwaine,3
hotdog,3
lie,3
train,3
steal,3
desert,3
system,3
whoa,2
feed,2
smoke,2
energy,2
trust,2
pay,2
amaste,2
call,2
ready,2
sure,2
cash,2
kendl,2
cesar,2
enter,2
fuck,2
brother,2
karma,2
little,2
find,2
really,2
san,2
fierro,2
place,2
kill,2
fucking,2
two,2
engine,2
meet,2
old,2
job,2
pick,2
station,2
long,2
face,2
let,2
king,2
uh,2
anything,2
mind,2
away,2
could,2
always,2
path,2
idea,2
even,2
explain,2
touch,2
far,2
shit,2
fly,2
year,2
might,2
welcome,1
mushroom,1
lude,1
dmt,1
never,1
fbi,1
dea,1
give,1
positive,1
vietnamese,1
opium,1
square,1
across,1
ridge,1
respect,1
survivalist,1
maniacs,1
right,1
winger,1
fascist,1
harvester,1
one,1
bring,1
valley,1
thank,1
whoop,1
de,1
doo,1
trailer,1
lone,1
karmic,1
circle,1
close,1
egg,1
oooommmmmm,1
threeeee,1
ramayanaaaaa,1
noise,1
narc,1
rat,1
calm,1
panic,1
pave,1
bad,1
torch,1
field,1
hope,1
gaia,1
forgive,1
hold,1
something,1
save,1
rainy,1
day,1
bail,1
thai,1
sticks,1
shame,1
lamp,1
jesus,1
like,1
bummer,1
relax,1
vibe,1
woah,1
ommmmm,1
people,1
swear,1
use,1
marine,1
til,1
mob,1
buy,1
vice,1
end,1
bit,1
dull,1
habit,1
skill,1
first,1
last,1
hear,1
easter,1
basin,1
gas,1
car,1
hey,1
hop,1
real,1
swing,1
santa,1
flora,1
district,1
west,1
story,1
ooh,1
cover,1
yellow,1
rubber,1
duck,1
sshhh,1
past,1
enough,1
tram,1
terminal,1
open,1
chop,1
next,1
stop,1
cop,1
downtown,1
tell,1
likelihood,1
probe,1
ass,1
within,1
month,1
drill,1
interested,1
around,1
corner,1
picture,1
pink,1
golf,1
ball,1
street,1
electronics,1
dealing,1
name,1
fix,1
supercomputer,1
paperclip,1
help,1
along,1
sit,1
bench,1
fill,1
home,1
james,1
hail,1
check,1
transient,1
jump,1
piece,1
plane,1
oof,1
pass,1
life,1
every,1
toreno,1
cancel,1
found,1
father,1
alone,1
map,1
leave,1
ever,1
boy,1
blow,1
elegance,1
area,1
nice,1
trip,1
woooah,1
damn,1
ow,1
new,1
age,1
begin,1
thing,1
today,1
guard,1
stuff,1
yet,1
answer,1
jet,1
pack,1
whatever,1
least,1
shhh,1
listen,1
earth,1
walk,1
towards,1
airfield,1
carry,1
green,1
goo,1
oooh,1
different,1
speak,1
algorithm,1
brain,1
admit,1
favour,1
chip,1
deep,1
peyote,1
safari,1
night,1
inner,1
light,1
commune,1
lizard,1
problem,1
los,1
santos,1
wake,1
japanese,1
bathhouse,1
hour,1
ago,1
brits,1
band,1
manager,1
experience,1
arco,1
del,1
oeste,1
sunset,1
start,1
maccer,1
paul,1
lay,1
ground,1
somewhere,1
bastard,1
cost,1
farm,1
hog,1
bong,1
power,1
corrupt,1
everyone,1
beat,1
thirty,1
cross,1
manage,1
icon,1
hell,1
fifteen,1
microdot,1
ounce,1
mescaline,1
