lemma,count
hey,9
man,7
get,6
cj,6
ese,5
holme,4
mike,4
fuck,4
know,3
phone,3
bounce,3
talk,3
come,3
fucking,3
pinche,2
say,2
shit,2
bone,2
ring,2
yeah,2
mess,2
enter,2
vato,2
go,2
back,2
jizzy,2
van,2
apurate,2
güero,2
think,2
almost,2
toreno,2
horale,1
liability,1
deal,1
agree,1
besides,1
could,1
would,1
want,1
make,1
personal,1
hello,1
damn,1
open,1
eye,1
dog,1
see,1
stupid,1
someone,1
onto,1
need,1
rethink,1
try,1
contact,1
oh,1
ok,1
keep,1
trouble,1
let,1
take,1
yay,1
shipment,1
still,1
battery,1
run,1
one,1
clown,1
relax,1
charlie,1
torch,1
nada,1
ask,1
payaso,1
committee,1
shake,1
spot,1
outside,1
garage,1
jura,1
blow,1
head,1
rape,1
kill,1
family,1
snake,1
bullshit,1
game,1
work,1
turn,1
around,1
look,1
guacha,1
careful,1
business,1
car,1
straight,1
hear,1
jefe,1
pull,1
near,1
si,1
mon,1
watch,1
factory,1
yard,1
parrot,1
never,1
anyone,1
life,1
badabe,1
hospital,1
forgeddaboudit,1
pay,1
woman,1
fat,1
