lemma,count
cj,26
get,16
go,16
woozie,14
screen,12
one,11
carl,10
take,8
come,8
casino,8
know,7
ok,7
look,7
enter,7
friend,6
good,6
people,6
oh,6
open,6
triad,6
see,6
way,6
water,6
well,6
car,5
man,5
hey,5
suzie,5
boys,5
need,5
make,5
spot,5
call,4
little,4
want,4
two,4
ah,4
family,4
da,4
nang,4
would,4
phone,4
yeah,4
layout,4
listen,3
like,3
cash,3
luck,3
bet,3
business,3
hand,3
walk,3
jizzy,3
run,3
helicopter,3
hello,3
help,3
let,3
tong,3
thing,3
close,3
garage,3
door,3
may,3
swim,3
patrol,3
route,3
damn,3
could,3
everybody,3
caligula,3
sound,3
ha,3
generator,3
team,3
heist,3
meet,2
johnson,2
three,2
lose,2
guy,2
right,2
honour,2
local,2
police,2
find,2
give,2
card,2
guess,2
catalina,2
exactly,2
explain,2
club,2
shop,2
introduce,2
dai,2
settle,2
without,2
important,2
shall,2
show,2
meeting,2
sorry,2
blood,2
feather,2
behind,2
ran,2
fa,2
li,2
red,2
gecko,2
west,2
move,2
ahead,2
mine,2
attention,2
share,2
home,2
heh,2
outside,2
laughs,2
blind,2
yes,2
point,2
boat,2
underwater,2
dive,2
across,2
guard,2
place,2
something,2
ring,2
lion,2
today,2
shit,2
guppy,2
check,2
arrive,2
container,2
ship,2
thank,2
factory,2
much,2
machine,2
worker,2
fuck,2
wrong,2
try,2
mafia,2
town,2
partner,2
front,2
sindacco,2
hit,2
whole,2
bad,2
crew,2
must,2
else,2
plan,2
plane,2
plant,2
steal,2
assistant,2
chip,2
bastard,2
gentleman,2
follow,2
zero,2
room,2
safe,2
van,2
audition,2
relax,1
parade,1
pal,1
careful,1
wu,1
zi,1
mu,1
race,1
pink,1
slip,1
racer,1
choice,1
start,1
drive,1
style,1
never,1
mind,1
willing,1
push,1
edge,1
clear,1
hell,1
soon,1
possible,1
reason,1
appreciate,1
noble,1
sport,1
uh,1
ever,1
san,1
fierro,1
maybe,1
together,1
wake,1
nice,1
farm,1
crowbar,1
kiss,1
crazy,1
brother,1
law,1
boy,1
photo,1
pleasure,1
dome,1
old,1
fortress,1
gant,1
bridge,1
problem,1
stranger,1
girl,1
information,1
ya,1
helipad,1
stand,1
punter,1
shout,1
tv,1
counter,1
straight,1
fact,1
use,1
unless,1
boss,1
mountain,1
cloud,1
likewise,1
sit,1
lo,1
responsibility,1
dispute,1
damage,1
drop,1
fail,1
face,1
last,1
recourse,1
unnecessary,1
violence,1
strange,1
gate,1
usually,1
lock,1
stick,1
dead,1
lay,1
around,1
fire,1
spook,1
stumble,1
die,1
lie,1
wipe,1
enough,1
happen,1
shuk,1
foo,1
head,1
coast,1
kung,1
send,1
word,1
kowloon,1
vietnamese,1
crime,1
prepare,1
united,1
states,1
cowardly,1
attack,1
trouble,1
personal,1
less,1
likely,1
draw,1
lure,1
lizard,1
bake,1
sun,1
none,1
amazing,1
seriously,1
deep,1
panic,1
plus,1
terrified,1
eel,1
squid,1
seaweed,1
someone,1
trust,1
negative,1
confession,1
although,1
train,1
sense,1
notice,1
handicap,1
quite,1
useless,1
stupid,1
dock,1
planet,1
bug,1
anchor,1
sea,1
however,1
block,1
tunnel,1
proceed,1
still,1
main,1
surface,1
upstairs,1
catch,1
big,1
seal,1
sort,1
excuse,1
news,1
day,1
really,1
friendship,1
invaluable,1
couple,1
fly,1
bys,1
everything,1
week,1
invite,1
new,1
yet,1
former,1
put,1
idiot,1
realize,1
cost,1
suppose,1
glad,1
complete,1
nightmare,1
stomach,1
ulcer,1
corporation,1
feel,1
squeeze,1
slot,1
bust,1
workman,1
scare,1
mob,1
operate,1
stake,1
whack,1
lawyer,1
addition,1
usual,1
authority,1
bribe,1
slice,1
profit,1
wiseguy,1
italians,1
hear,1
offer,1
exchange,1
set,1
rid,1
johnny,1
tie,1
glorious,1
hole,1
attempt,1
sabotage,1
venture,1
wonder,1
gangbange,1
different,1
league,1
special,1
equipment,1
cast,1
south,1
city,1
limit,1
explosive,1
think,1
window,1
light,1
anyone,1
office,1
speak,1
adjourn,1
clever,1
prognosis,1
extremely,1
difficult,1
impossible,1
worry,1
practice,1
finally,1
first,1
recruit,1
shut,1
box,1
remember,1
nothing,1
parachute,1
crash,1
jump,1
end,1
dam,1
quay,1
avoid,1
area,1
knife,1
stash,1
near,1
useful,1
stealth,1
noise,1
building,1
alert,1
press,1
triangle,1
charge,1
round,1
money,1
sky,1
crane,1
unfortunately,1
pilot,1
five,1
tell,1
play,1
always,1
win,1
fake,1
worried,1
insolent,1
obvious,1
plastic,1
blow,1
mark,1
please,1
farlie,1
sign,1
partnership,1
contract,1
raise,1
glass,1
say,1
time,1
part,1
stay,1
back,1
wall,1
devious,1
change,1
idea,1
backup,1
explode,1
exclude,1
contain,1
bomb,1
load,1
kill,1
whilst,1
wait,1
downstairs,1
motorbike,1
calm,1
kendl,1
currently,1
midget,1
mass,1
appeal,1
reduce,1
stature,1
mean,1
irs,1
