lemma,count
cj,14
berkley,10
zero,8
get,8
carl,7
never,6
man,6
fight,5
two,5
police,5
leave,4
back,4
go,4
screen,4
ha,4
well,4
heist,4
good,3
yes,3
shall,3
shop,3
use,3
must,3
battle,3
enter,3
room,3
away,3
come,3
van,3
oh,2
nothing,2
life,2
take,2
drug,2
sex,2
right,2
last,2
fair,2
please,2
prize,2
roof,2
launch,2
attack,2
commence,2
rooftop,2
cupboard,2
open,2
hang,2
hook,2
underwear,2
year,2
help,2
hour,2
miniature,2
ok,2
engage,2
make,2
time,2
see,2
land,2
drive,2
bandit,2
outside,2
garage,2
phone,2
car,2
yeah,2
earpiece,2
woozie,2
uniform,2
motorbike,2
parachute,2
airfield,2
alone,1
stalk,1
hey,1
truth,1
salutation,1
sibling,1
apart,1
blood,1
pressure,1
imminent,1
collapse,1
hope,1
dream,1
usual,1
force,1
darkness,1
triumph,1
misery,1
briefly,1
intersperse,1
agony,1
excuse,1
know,1
loser,1
maniacs,1
thing,1
mind,1
beat,1
competition,1
literally,1
obsess,1
revenge,1
initiate,1
violence,1
win,1
science,1
first,1
end,1
cut,1
full,1
scale,1
battery,1
fire,1
transmitter,1
able,1
counter,1
toy,1
small,1
minigun,1
eliminate,1
enemy,1
threat,1
still,1
long,1
opposable,1
thumb,1
prepare,1
ahead,1
owe,1
many,1
little,1
three,1
beach,1
another,1
busy,1
top,1
secret,1
stuff,1
eye,1
sensitive,1
backroom,1
inside,1
say,1
need,1
friend,1
today,1
thank,1
hero,1
humiliate,1
probably,1
turn,1
prostitution,1
find,1
dead,1
break,1
old,1
whose,1
landlord,1
contemplate,1
inadequacy,1
nearly,1
ow,1
ooh,1
crack,1
uhh,1
prototype,1
plane,1
cool,1
sycophantic,1
lackey,1
delivery,1
hit,1
hurt,1
bring,1
mail,1
order,1
model,1
business,1
knee,1
destiny,1
bad,1
judgement,1
upon,1
ask,1
sheep,1
goat,1
second,1
letter,1
everything,1
case,1
cross,1
rubicon,1
stake,1
honour,1
funny,1
notice,1
beautiful,1
may,1
rome,1
springtime,1
butterfly,1
death,1
hither,1
battlefield,1
complete,1
basis,1
behold,1
hq,1
across,1
fly,1
goblin,1
way,1
base,1
san,1
fierro,1
let,1
cesar,1
work,1
simple,1
bit,1
electronic,1
wizardry,1
intellectual,1
bombast,1
hack,1
state,1
art,1
satellite,1
immobilization,1
technology,1
board,1
target,1
vehicle,1
ahhh,1
wait,1
gadget,1
set,1
pick,1
cell,1
signal,1
call,1
give,1
new,1
location,1
stay,1
close,1
update,1
position,1
though,1
woman,1
question,1
mafia,1
normally,1
move,1
cash,1
caligula,1
moans,1
pain,1
idea,1
um,1
ever,1
helicopter,1
lift,1
heavy,1
load,1
neither,1
like,1
big,1
jerry,1
worry,1
schedule,1
stick,1
head,1
security,1
door,1
millie,1
swipe,1
card,1
downstairs,1
suzie,1
assistant,1
occupant,1
planning,1
unload,1
bike,1
everybody,1
change,1
onto,1
follow,1
collect,1
press,1
circle,1
fall,1
rest,1
team,1
also,1
mean,1
tell,1
kinda,1
punch,1
floor,1
watch,1
idiot,1
